transaction_id,portfolio_id,instrument_id,counterparty_id,trade_dt,settlement_dt,transaction_type,quantity,price,gross_amount,fees_amount,net_amount,currency_code
TXN00100001,PORT001,INS0015,CP010,2025-09-20,2025-09-22,BUY,319,27.2588,8695.56,11.57,8683.99,INR
TXN00100002,PORT001,INS0008,CP011,2025-09-16,2025-09-18,BUY,44,71.9676,3166.57,9.44,3157.13,GBP
TXN00100003,PORT001,INS0025,CP008,2025-10-19,2025-10-21,BUY,456,22.9926,10484.63,10.91,10473.72,EUR
TXN00100004,PORT001,INS0026,CP003,2025-11-29,2025-12-01,SELL,12,62.7551,753.06,0.71,752.35,USD
TXN00100005,PORT001,INS0025,CP011,2025-10-12,2025-10-14,BUY,164,23.333,3826.61,9.8,3816.81,EUR
TXN00100006,PORT001,INS0041,CP010,2025-08-24,2025-08-26,SELL,268,15.0282,4027.56,11.29,4016.27,GBP
TXN00100007,PORT001,INS0030,CP001,2025-07-31,2025-08-02,BUY,428,48.5006,20758.26,20.9,20737.36,USD
TXN00100008,PORT001,INS0041,CP006,2025-09-20,2025-09-22,SELL,191,14.385,2747.53,5.08,2742.45,EUR
TXN00100009,PORT001,INS0046,CP005,2025-10-22,2025-10-24,SELL,419,28.5679,11969.95,30.41,11939.54,EUR
TXN00100010,PORT001,INS0013,CP003,2025-08-10,2025-08-12,BUY,26,34.8278,905.52,2.21,903.31,INR
TXN00100011,PORT001,INS0050,CP008,2025-10-26,2025-10-28,SELL,457,47.463,21690.59,27.05,21663.54,INR
TXN00100012,PORT001,INS0010,CP003,2026-03-04,2026-03-06,BUY,360,81.8059,29450.12,53.09,29397.03,GBP
TXN00100013,PORT001,INS0050,CP006,2025-10-05,2025-10-07,SELL,378,46.1395,17440.73,39.37,17401.36,USD
TXN00100014,PORT001,INS0031,CP012,2026-01-14,2026-01-16,BUY,349,51.7804,18071.36,28.4,18042.96,EUR
TXN00100015,PORT001,INS0003,CP012,2026-02-12,2026-02-14,SELL,372,36.2943,13501.48,21.52,13479.96,GBP
TXN00100016,PORT001,INS0001,CP009,2025-12-31,2026-01-02,BUY,97,14.6721,1423.19,2.97,1420.22,GBP
TXN00100017,PORT001,INS0008,CP003,2025-10-14,2025-10-16,SELL,17,59.3617,1009.15,1.02,1008.13,GBP
TXN00100018,PORT001,INS0012,CP012,2025-06-22,2025-06-24,SELL,405,9.2823,3759.33,9.93,3749.4,USD
TXN00100019,PORT001,INS0042,CP005,2026-03-12,2026-03-14,SELL,146,47.6439,6956.01,18.09,6937.92,GBP
TXN00100020,PORT001,INS0015,CP002,2025-09-18,2025-09-20,BUY,490,27.3355,13394.4,9.04,13385.36,INR
TXN00100021,PORT001,INS0004,CP008,2025-11-28,2025-11-30,BUY,104,45.7195,4754.83,11.37,4743.46,INR
TXN00100022,PORT001,INS0040,CP009,2025-05-15,2025-05-17,SELL,16,47.1287,754.06,1.54,752.52,GBP
TXN00100023,PORT001,INS0039,CP009,2025-07-10,2025-07-12,SELL,183,6.6932,1224.86,1.53,1223.33,GBP
TXN00100024,PORT001,INS0048,CP007,2026-01-26,2026-01-28,SELL,471,36.4208,17154.2,50.11,17104.09,INR
TXN00100025,PORT001,INS0004,CP005,2025-06-06,2025-06-08,BUY,207,39.7191,8221.85,11.48,8210.37,INR
TXN00100026,PORT001,INS0019,CP005,2026-01-28,2026-01-30,BUY,170,18.6598,3172.17,3.44,3168.73,GBP
TXN00100027,PORT001,INS0037,CP011,2025-07-20,2025-07-22,BUY,72,42.1519,3034.94,4.75,3030.19,EUR
TXN00100028,PORT001,INS0020,CP012,2025-09-06,2025-09-08,SELL,422,10.3604,4372.09,3.92,4368.17,USD
TXN00100029,PORT001,INS0021,CP010,2026-02-24,2026-02-26,BUY,327,46.7371,15283.03,10.73,15272.3,GBP
