instrument_id,instrument_name,ticker,isin,asset_class_code,currency_code,issuer_name,coupon_rate,maturity_dt
INS0001,Instrument 1,TCK0001,ISIN00000001,ETF,EUR,Issuer 4,0.0,2035-11-10
INS0002,Instrument 2,TCK0002,ISIN00000002,ETF,USD,Issuer 2,0.0,2031-07-23
INS0003,Instrument 3,TCK0003,ISIN00000003,EQUITY,GBP,Issuer 14,0.0,2031-02-25
INS0004,Instrument 4,TCK0004,ISIN00000004,DERIVATIVE,GBP,Issuer 13,0.0,2027-10-13
INS0005,Instrument 5,TCK0005,ISIN00000005,MUTUAL_FUND,USD,Issuer 15,0.0,2031-07-17
INS0006,Instrument 6,TCK0006,ISIN00000006,EQUITY,GBP,Issuer 14,0.0,2034-05-06
INS0007,Instrument 7,TCK0007,ISIN00000007,DERIVATIVE,GBP,Issuer 10,0.0,2029-06-14
INS0008,Instrument 8,TCK0008,ISIN00000008,EQUITY,USD,Issuer 11,0.0,2029-11-07
INS0009,Instrument 9,TCK0009,ISIN00000009,ETF,USD,Issuer 14,0.0,2029-11-27
INS0010,Instrument 10,TCK0010,ISIN00000010,EQUITY,INR,Issuer 5,0.0,2032-05-19
INS0011,Instrument 11,TCK0011,ISIN00000011,ETF,EUR,Issuer 6,0.0,2031-04-13
INS0012,Instrument 12,TCK0012,ISIN00000012,BOND,GBP,Issuer 12,0.0756,2034-07-25
INS0013,Instrument 13,TCK0013,ISIN00000013,EQUITY,EUR,Issuer 9,0.0,2035-06-22
INS0014,Instrument 14,TCK0014,ISIN00000014,BOND,EUR,Issuer 8,0.0366,2034-06-22
INS0015,Instrument 15,TCK0015,ISIN00000015,DERIVATIVE,EUR,Issuer 11,0.0,2030-12-07
INS0016,Instrument 16,TCK0016,ISIN00000016,EQUITY,EUR,Issuer 14,0.0,2027-08-28
INS0017,Instrument 17,TCK0017,ISIN00000017,ETF,INR,Issuer 5,0.0,2028-01-15
INS0018,Instrument 18,TCK0018,ISIN00000018,BOND,GBP,Issuer 4,0.0559,2031-09-25
INS0019,Instrument 19,TCK0019,ISIN00000019,MUTUAL_FUND,EUR,Issuer 5,0.0,2028-11-10
INS0020,Instrument 20,TCK0020,ISIN00000020,BOND,GBP,Issuer 12,0.0509,2033-11-03
INS0021,Instrument 21,TCK0021,ISIN00000021,MUTUAL_FUND,GBP,Issuer 4,0.0,2028-11-05
INS0022,Instrument 22,TCK0022,ISIN00000022,DERIVATIVE,INR,Issuer 2,0.0,2035-10-09
INS0023,Instrument 23,TCK0023,ISIN00000023,EQUITY,USD,Issuer 3,0.0,2034-05-02
INS0024,Instrument 24,TCK0024,ISIN00000024,BOND,INR,Issuer 10,0.0144,2031-07-30
INS0025,Instrument 25,TCK0025,ISIN00000025,DERIVATIVE,INR,Issuer 9,0.0,2030-02-11
INS0026,Instrument 26,TCK0026,ISIN00000026,DERIVATIVE,USD,Issuer 11,0.0,2035-05-19
INS0027,Instrument 27,TCK0027,ISIN00000027,EQUITY,GBP,Issuer 13,0.0,2034-06-26
INS0028,Instrument 28,TCK0028,ISIN00000028,ETF,USD,Issuer 5,0.0,2032-03-03
INS0029,Instrument 29,TCK0029,ISIN00000029,BOND,INR,Issuer 1,0.0768,2035-05-14
INS0030,Instrument 30,TCK0030,ISIN00000030,ETF,EUR,Issuer 9,0.0,2028-06-27
INS0031,Instrument 31,TCK0031,ISIN00000031,ETF,EUR,Issuer 3,0.0,2031-06-28
INS0032,Instrument 32,TCK0032,ISIN00000032,BOND,USD,Issuer 10,0.0327,2027-07-07
INS0033,Instrument 33,TCK0033,ISIN00000033,EQUITY,GBP,Issuer 15,0.0,2030-09-29
INS0034,Instrument 34,TCK0034,ISIN00000034,BOND,USD,Issuer 4,0.0715,2028-03-06
INS0035,Instrument 35,TCK0035,ISIN00000035,EQUITY,INR,Issuer 14,0.0,2028-01-27
INS0036,Instrument 36,TCK0036,ISIN00000036,DERIVATIVE,EUR,Issuer 3,0.0,2034-09-11
INS0037,Instrument 37,TCK0037,ISIN00000037,MUTUAL_FUND,EUR,Issuer 5,0.0,2033-03-19
INS0038,Instrument 38,TCK0038,ISIN00000038,DERIVATIVE,INR,Issuer 4,0.0,2033-05-05
INS0039,Instrument 39,TCK0039,ISIN00000039,BOND,GBP,Issuer 7,0.0797,2034-08-01
INS0040,Instrument 40,TCK0040,ISIN00000040,ETF,INR,Issuer 15,0.0,2033-02-05
INS0041,Instrument 41,TCK0041,ISIN00000041,MUTUAL_FUND,USD,Issuer 4,0.0,2029-10-25
INS0042,Instrument 42,TCK0042,ISIN00000042,EQUITY,GBP,Issuer 1,0.0,2033-11-22
INS0043,Instrument 43,TCK0043,ISIN00000043,DERIVATIVE,EUR,Issuer 10,0.0,2029-10-07
INS0044,Instrument 44,TCK0044,ISIN00000044,EQUITY,USD,Issuer 12,0.0,2034-05-16
INS0045,Instrument 45,TCK0045,ISIN00000045,EQUITY,EUR,Issuer 2,0.0,2027-08-25
INS0046,Instrument 46,TCK0046,ISIN00000046,ETF,USD,Issuer 9,0.0,2029-12-18
INS0047,Instrument 47,TCK0047,ISIN00000047,ETF,INR,Issuer 4,0.0,2033-05-05
INS0048,Instrument 48,TCK0048,ISIN00000048,BOND,INR,Issuer 4,0.0649,2031-11-11
INS0049,Instrument 49,TCK0049,ISIN00000049,BOND,USD,Issuer 2,0.0561,2031-04-09
INS0050,Instrument 50,TCK0050,ISIN00000050,MUTUAL_FUND,INR,Issuer 8,0.0,2035-06-22
